Date,Open,High,Low,Close,Adj Close,Volume
2021-11-07,2.815379,2.986382,2.733604,2.823795,2.823795,1445550301
2021-11-08,2.830486,2.879212,2.662486,2.696331,2.696331,1055546304
2021-11-09,2.693981,2.711207,2.513228,2.544488,2.544488,928050294
2021-11-10,2.549532,2.871799,2.229022,2.503967,2.503967,1960668646
2021-11-11,2.504919,2.849730,2.433946,2.681482,2.681482,1545844418
2021-11-12,2.676757,3.465929,2.644329,3.297853,3.297853,6512874646
2021-11-13,3.306898,3.792297,3.150844,3.241855,3.241855,5443230227
2021-11-14,3.252204,3.344731,3.103462,3.209387,3.209387,1873423296
2021-11-15,3.214781,3.495181,3.164736,3.287029,3.287029,2068495821
2021-11-16,3.299184,3.428023,2.750642,3.251875,3.251875,3617130641
2021-11-17,3.246473,3.515130,3.125484,3.342849,3.342849,2557418928
2021-11-18,3.353333,3.974976,3.228896,3.745672,3.745672,6008028065
2021-11-19,3.748953,4.338775,3.748953,4.290613,4.290613,5583381823
2021-11-20,4.292812,4.348815,3.853068,4.014725,4.014725,2355194372
2021-11-21,4.021112,4.108279,3.618878,3.659434,3.659434,1887447766
2021-11-22,3.655118,4.109709,3.538830,4.090838,4.090838,3350463832
2021-11-23,4.092688,4.302036,3.933164,4.020993,4.020993,3777678884
2021-11-24,4.022392,5.483047,3.939846,5.148077,5.148077,9346867161
2021-11-25,5.161565,5.902317,4.691721,5.201327,5.201327,8047684352
2021-11-26,5.301135,5.434696,4.431616,4.620227,4.620227,5938751488
